participant_id	ses_5_anat	ses_5_func_run_01	ses_5_func_run_02	ses_7_anat	ses_7_func_run_01	ses_7_func_run_02	selection_note
sub-5070	sub-5070_ses-5_acq-D2S14_T1w.nii.gz	sub-5070_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5070_ses-5_task-Sem_acq-D2S7_run-02_bold.nii.gz	sub-5070_ses-7_acq-D1S2_T1w.nii.gz	sub-5070_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5070_ses-7_task-Sem_acq-D2S10_run-02_bold.nii.gz	
sub-5074	sub-5074_ses-5_acq-D1S2_T1w.nii.gz	sub-5074_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5074_ses-5_task-Sem_acq-D2S11_run-02_bold.nii.gz	sub-5074_ses-7_acq-D1S2_T1w.nii.gz	sub-5074_ses-7_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5074_ses-7_task-Sem_acq-D2S3_run-02_bold.nii.gz	
sub-5075	sub-5075_ses-5_acq-D1S3_T1w.nii.gz	sub-5075_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5075_ses-5_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5075_ses-7_acq-D1S2_T1w.nii.gz	sub-5075_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5075_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5077	sub-5077_ses-5_acq-D1S2_T1w.nii.gz	sub-5077_ses-5_task-Sem_acq-D2S7_run-01_bold.nii.gz	sub-5077_ses-5_task-Sem_acq-D2S9_run-02_bold.nii.gz	sub-5077_ses-7_acq-D1S11_T1w.nii.gz	sub-5077_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5077_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5091	sub-5091_ses-5_acq-D3S2_T1w.nii.gz	sub-5091_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5091_ses-5_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5091_ses-7_acq-D1S2_T1w.nii.gz	sub-5091_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5091_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5099	sub-5099_ses-5_acq-D1S2_T1w.nii.gz	sub-5099_ses-5_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5099_ses-5_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5099_ses-7_acq-D1S2_T1w.nii.gz	sub-5099_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5099_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5109	sub-5109_ses-5_acq-D1S2_T1w.nii.gz	sub-5109_ses-5_task-Sem_acq-D2S3_run-01_bold.nii.gz	sub-5109_ses-5_task-Sem_acq-D2S5_run-02_bold.nii.gz	sub-5109_ses-7_acq-D1S2_T1w.nii.gz	sub-5109_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5109_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5140	sub-5140_ses-5_acq-D1S2_T1w.nii.gz	sub-5140_ses-5_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5140_ses-5_task-Sem_acq-D2S14_run-02_bold.nii.gz	sub-5140_ses-7_acq-D1S2_T1w.nii.gz	sub-5140_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5140_ses-7_task-Sem_acq-D2S12_run-02_bold.nii.gz	
sub-5143	sub-5143_ses-5_acq-D1S2_T1w.nii.gz	sub-5143_ses-5_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5143_ses-5_task-Sem_acq-D1S3_run-02_bold.nii.gz	sub-5143_ses-7_acq-D1S11_T1w.nii.gz	sub-5143_ses-7_task-Sem_acq-D2S19_run-01_bold.nii.gz	sub-5143_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5149	sub-5149_ses-5_acq-D1S2_T1w.nii.gz	sub-5149_ses-5_task-Sem_acq-D1S7_run-01_bold.nii.gz	sub-5149_ses-5_task-Sem_acq-D1S9_run-02_bold.nii.gz	sub-5149_ses-7_acq-D1S2_T1w.nii.gz	sub-5149_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5149_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5153	sub-5153_ses-5_acq-D1S2_T1w.nii.gz	sub-5153_ses-5_task-Sem_acq-D2S7_run-01_bold.nii.gz	sub-5153_ses-5_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5153_ses-7_acq-D2S2_T1w.nii.gz	sub-5153_ses-7_task-Sem_acq-D2S3_run-01_bold.nii.gz	sub-5153_ses-7_task-Sem_acq-D2S5_run-02_bold.nii.gz	
sub-5159	sub-5159_ses-5_acq-D1S2_T1w.nii.gz	sub-5159_ses-5_task-Sem_acq-D2S11_run-01_bold.nii.gz	sub-5159_ses-5_task-Sem_acq-D2S9_run-02_bold.nii.gz	sub-5159_ses-7_acq-D2S2_T1w.nii.gz	sub-5159_ses-7_task-Sem_acq-D3S2_run-01_bold.nii.gz	sub-5159_ses-7_task-Sem_acq-D3S4_run-02_bold.nii.gz	
sub-5160	sub-5160_ses-5_acq-D1S2_T1w.nii.gz	sub-5160_ses-5_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5160_ses-5_task-Sem_acq-D2S10_run-02_bold.nii.gz	sub-5160_ses-7_acq-D1S2_T1w.nii.gz	sub-5160_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5160_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5161	sub-5161_ses-5_acq-D3S2_T1w.nii.gz	sub-5161_ses-5_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5161_ses-5_task-Sem_acq-D3S8_run-02_bold.nii.gz	sub-5161_ses-7_acq-D1S2_T1w.nii.gz	sub-5161_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5161_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5163	sub-5163_ses-5_acq-D1S3_T1w.nii.gz	sub-5163_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5163_ses-5_task-Sem_acq-D2S11_run-02_bold.nii.gz	sub-5163_ses-7_acq-D1S15_T1w.nii.gz	sub-5163_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5163_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5167	sub-5167_ses-5_acq-D1S2_T1w.nii.gz	sub-5167_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5167_ses-5_task-Sem_acq-D2S7_run-02_bold.nii.gz	sub-5167_ses-7_acq-D1S2_T1w.nii.gz	sub-5167_ses-7_task-Sem_acq-D2S15_run-01_bold.nii.gz	sub-5167_ses-7_task-Sem_acq-D2S17_run-02_bold.nii.gz	
sub-5169	sub-5169_ses-5_acq-D2S2_T1w.nii.gz	sub-5169_ses-5_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5169_ses-5_task-Sem_acq-D2S11_run-02_bold.nii.gz	sub-5169_ses-7_acq-D1S2_T1w.nii.gz	sub-5169_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5169_ses-7_task-Sem_acq-D2S14_run-02_bold.nii.gz	
sub-5179	sub-5179_ses-5_acq-D2S17_T1w.nii.gz	sub-5179_ses-5_task-Sem_acq-D2S11_run-01_bold.nii.gz	sub-5179_ses-5_task-Sem_acq-D2S9_run-02_bold.nii.gz	sub-5179_ses-7_acq-D1S2_T1w.nii.gz	sub-5179_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5179_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5185	sub-5185_ses-5_acq-D1S2_T1w.nii.gz	sub-5185_ses-5_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5185_ses-5_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5185_ses-7_acq-D2S2_T1w.nii.gz	sub-5185_ses-7_task-Sem_acq-D3S4_run-01_bold.nii.gz	sub-5185_ses-7_task-Sem_acq-D3S6_run-02_bold.nii.gz	
sub-5199	sub-5199_ses-5_acq-D1S11_T1w.nii.gz	sub-5199_ses-5_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5199_ses-5_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5199_ses-7_acq-D1S2_T1w.nii.gz	sub-5199_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5199_ses-7_task-Sem_acq-D2S10_run-02_bold.nii.gz	
sub-5215	sub-5215_ses-5_acq-D1S2_T1w.nii.gz	sub-5215_ses-5_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5215_ses-5_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5215_ses-7_acq-D1S2_T1w.nii.gz	sub-5215_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5215_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5259	sub-5259_ses-5_acq-D1S2_T1w.nii.gz	sub-5259_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5259_ses-5_task-Sem_acq-D2S12_run-02_bold.nii.gz	sub-5259_ses-7_acq-D1S14_T1w.nii.gz	sub-5259_ses-7_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5259_ses-7_task-Sem_acq-D2S11_run-02_bold.nii.gz	
sub-5270	sub-5270_ses-5_acq-D1S2_T1w.nii.gz	sub-5270_ses-5_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5270_ses-5_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5270_ses-7_acq-D1S11_T1w.nii.gz	sub-5270_ses-7_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5270_ses-7_task-Sem_acq-D1S3_run-02_bold.nii.gz	
sub-5274	sub-5274_ses-5_acq-D1S2_T1w.nii.gz	sub-5274_ses-5_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5274_ses-5_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5274_ses-7_acq-D1S2_T1w.nii.gz	sub-5274_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5274_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5286	sub-5286_ses-5_acq-D1S2_T1w.nii.gz	sub-5286_ses-5_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5286_ses-5_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5286_ses-7_acq-D1S2_T1w.nii.gz	sub-5286_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5286_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5304	sub-5304_ses-5_acq-D1S2_T1w.nii.gz	sub-5304_ses-5_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5304_ses-5_task-Sem_acq-D2S7_run-02_bold.nii.gz	sub-5304_ses-7_acq-D2S2_T1w.nii.gz	sub-5304_ses-7_task-Sem_acq-D3S9_run-01_bold.nii.gz	sub-5304_ses-7_task-Sem_acq-D3S7_run-02_bold.nii.gz	
sub-5338	sub-5338_ses-5_acq-D1S2_T1w.nii.gz	sub-5338_ses-5_task-Sem_acq-D1S7_run-01_bold.nii.gz	sub-5338_ses-5_task-Sem_acq-D1S9_run-02_bold.nii.gz	sub-5338_ses-7_acq-D1S2_T1w.nii.gz	sub-5338_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5338_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	
